Object,tool,quantity,time,type
Twig Foundation,40mm HE Grenade,1,1 sec,Explosive
Twig Foundation,Rocket,1,1 sec,Explosive
Twig Foundation,Incendiary Rocket,1,1 sec,Explosive
Twig Foundation,High Velocity Rocket,1,1 sec,Explosive
Twig Foundation,Timed Explosive Charge,1,10 sec,Explosive
Twig Foundation,Beancan Grenade ,1,6 sec,Explosive
Twig Foundation,Fire Arrow,1,1 sec,Explosive
Twig Foundation,F1 Grenade ,1,5 sec,Explosive
Twig Foundation,Flame Thrower,2,17 sec,Explosive
Twig Foundation,Satchel Charge,1,9 sec,Explosive
Twig Foundation,Explosive 5.56 Rifle Ammo,2,1 sec,Explosive
Twig Foundation,Explosive 5.56 Rifle Ammo,1,1 sec,Explosive
Twig Foundation,Flashlight,3,36 sec,Melee
Twig Foundation,Flashlight,1,4 sec,Melee
Twig Foundation,Jackhammer,1,5 sec,Melee
Twig Foundation,JackhammerWorkbench Refill,1,5 sec,Melee
Twig Foundation,Bone Club,2,30 sec,Melee
Twig Foundation,Bone Club,1,3 sec,Melee
Twig Foundation,Bone Knife,2,23 sec,Melee
Twig Foundation,Bone Knife,1,2 sec,Melee
Twig Foundation,Chainsaw,2,9 sec,Melee
Twig Foundation,Chainsaw,1,1 sec,Melee
Twig Foundation,Salvaged Cleaver,1,18 sec,Melee
Twig Foundation,Hatchet,1,18 sec,Melee
Twig Foundation,Combat Knife,2,11 sec,Melee
Twig Foundation,Combat Knife,1,1 sec,Melee
Twig Foundation,Mace,1,20 sec,Melee
Twig Foundation,Machete,1,15 sec,Melee
Twig Foundation,Paddle,1,21 sec,Melee
Twig Foundation,Pickaxe,1,25 sec,Melee
Twig Foundation,Rock,2,1 min 6 sec,Melee
Twig Foundation,Rock,1,6 sec,Melee
Twig Foundation,Salvaged Axe,1,16 sec,Melee
Twig Foundation,Salvaged Hammer,1,17 sec,Melee
Twig Foundation,Salvaged Icepick,1,16 sec,Melee
Twig Foundation,Stone Hatchet,2,31 sec,Melee
Twig Foundation,Stone Hatchet,1,3 sec,Melee
Twig Foundation,Stone Pickaxe,2,28 sec,Melee
Twig Foundation,Stone Pickaxe,1,2 sec,Melee
